feature,importance,original_feature,feature_group
categorical__route_Cincinnati → Lexington,0.00031688466,route_Cincinnati → Lexington,route
categorical__route_Bakersfield → Buffalo,0.00031591533,route_Bakersfield → Buffalo,route
categorical__route_Los Angeles → Nashville,0.0003158401,route_Los Angeles → Nashville,route
categorical__route_New Orleans → Cincinnati,0.0003152609,route_New Orleans → Cincinnati,route
categorical__route_Baton Rouge → Salt Lake City,0.00031351772,route_Baton Rouge → Salt Lake City,route
categorical__route_St. Louis → Reno,0.00031330925,route_St. Louis → Reno,route
categorical__route_Philadelphia → Raleigh,0.00031312878,route_Philadelphia → Raleigh,route
categorical__route_Columbia → Richmond,0.0003127974,route_Columbia → Richmond,route
categorical__route_Kansas City → Fort Wayne,0.00031110062,route_Kansas City → Fort Wayne,route
categorical__route_Indianapolis → Philadelphia,0.00031012003,route_Indianapolis → Philadelphia,route
categorical__route_Harrisburg → Chattanooga,0.00030881984,route_Harrisburg → Chattanooga,route
categorical__route_Buffalo → Corpus Christi,0.00030833037,route_Buffalo → Corpus Christi,route
categorical__route_Kansas City → Reno,0.00030799306,route_Kansas City → Reno,route
