date,pickup,delivery,equipment,distance,posted_rate,predicted_rate,absolute_error,percentage_error
2025-09-01,Chattanooga,Shreveport,Dry Van,428.0,952.96,968.80286,15.842856445312464,1.6624891333647227
2025-09-01,Mobile,Atlanta,Dry Van,306.7,753.12,769.31134,16.191340332031245,2.1499017861736838
2025-09-01,Kansas City,Richmond,Dry Van,940.1,1760.57,1780.691,20.121040039062564,1.142870777024632
2025-09-01,Albuquerque,Shreveport,Dry Van,1168.8,2324.24,2424.5469,100.30687500000022,4.315684912057285
2025-09-01,Richmond,Buffalo,Dry Van,317.6,697.99,685.04443,12.945566406250009,1.854692245769998
2025-09-01,Washington,El Paso,Flatbed,2180.6,4320.99,4347.828,26.83812500000022,0.6211105556828462
2025-09-01,Hartford,Nashville,Dry Van,1085.7,2179.31,2204.6125,25.302548828125055,1.161034860947963
2025-09-01,Memphis,Charleston,Dry Van,652.6,1477.25,1452.5658,24.6842041015625,1.6709564462049415
2025-09-01,Philadelphia,Mobile,Dry Van,1178.6,2308.35,2341.1584,32.80844726562509,1.4212943126313207
2025-09-01,Tucson,Corpus Christi,Reefer,1217.1,2753.14,2653.9155,99.22447265624987,3.6040474751102334
2025-09-01,Albany,Amarillo,Reefer,2318.8,4438.04,4295.5605,142.47945312499996,3.210413901744914
2025-09-01,Philadelphia,Amarillo,Dry Van,2104.4,3801.75,3624.5168,177.233154296875,4.66188345622082
2025-09-01,Bakersfield,San Francisco,Dry Van,389.3,870.8,909.18835,38.388354492187545,4.408400837412442
2025-09-01,Toledo,Raleigh,Flatbed,707.4,1525.42,1445.9341,79.48591796875007,5.21075624868889
2025-09-01,Phoenix,Cincinnati,Dry Van,2043.7,3819.07,3574.3489,244.72112304687516,6.407872153348201
2025-09-01,Lexington,Chattanooga,Dry Van,207.3,533.1,544.00275,10.902746582031227,2.045159741517769
2025-09-01,Corpus Christi,Houston,Dry Van,215.2,572.08,602.19257,30.11256591796871,5.263698419446355
2025-09-01,Las Vegas,Dayton,Dry Van,1999.7,3762.42,3636.8467,125.57332031250007,3.3375678502798745
2025-09-01,Nashville,Tampa,Dry Van,551.6,1246.71,1465.9984,219.28841308593746,17.58936826414623
2025-09-01,Indianapolis,Las Vegas,Dry Van,1718.1,3167.45,3254.746,87.29609375000018,2.756036993480566
2025-09-01,Dayton,Raleigh,Reefer,627.1,1453.26,1302.9388,150.3211572265625,10.343720822603148
2025-09-01,San Antonio,Los Angeles,Dry Van,1283.6,2493.1,2542.8125,49.71250000000009,1.9940034495206809
2025-09-01,Columbia,Montgomery,Flatbed,336.3,890.4,943.8129,53.41292724609377,5.998756429255814
2025-09-01,Columbia,Lubbock,Reefer,1205.2,2813.6,2858.7744,45.17441406250009,1.6055734312802137
2025-09-01,Providence,Montgomery,Reefer,1190.4,2631.8,2598.589,33.21088867187518,1.2619077692786373
2025-09-01,Oklahoma City,Los Angeles,Flatbed,1262.1,2767.04,2871.9487,104.90873046875004,3.7913702175881103
2025-09-01,Grand Rapids,Buffalo,Dry Van,508.7,1076.48,1072.7177,3.762348632812518,0.3495047407116266
2025-09-01,Charleston,Corpus Christi,Dry Van,1215.0,2464.66,2476.6028,11.942783203125146,0.48456108360281525
2025-09-01,Cincinnati,Providence,Dry Van,1109.8,2139.93,2124.673,15.256904296874836,0.7129627743372371
2025-09-01,New York,Albany,Dry Van,374.8,803.35,818.2539,14.903906249999977,1.8552195493869394
2025-09-01,Boston,Phoenix,Dry Van,3234.6,5609.77,5436.8296,172.94041015625044,3.0828431496523105
2025-09-01,Montgomery,Amarillo,Dry Van,1277.5,2462.59,2572.062,109.47201171874985,4.445401456139668
2025-09-01,Cincinnati,Little Rock,Dry Van,432.8,996.39,996.5146,0.12458740234376364,0.012503879238427086
2025-09-01,Hartford,Memphis,Dry Van,1183.7,2365.84,2440.6838,74.84383789062485,3.163520689929363
2025-09-01,Baton Rouge,Jacksonville,Dry Van,589.4,1244.22,1266.5404,22.320405273437473,1.7939275428330577
2025-09-01,Las Vegas,Baltimore,Dry Van,2762.3,4972.2,4846.038,126.16191406249982,2.537345924590721
2025-09-01,Charleston,Raleigh,Dry Van,179.8,462.1,526.48566,64.38565673828123,13.933273477230301
2025-09-01,Memphis,Richmond,Dry Van,858.6,1752.1,1756.4047,4.304663085937591,0.24568592465827244
2025-09-01,Phoenix,San Francisco,Reefer,659.2,1532.71,1497.5868,35.123208007812536,2.291575575797935
2025-09-01,St. Louis,Memphis,Dry Van,248.5,599.05,609.754,10.704028320312545,1.7868338736854263
2025-09-01,San Antonio,Nashville,Dry Van,859.6,1884.4,1812.6118,71.78818359375009,3.809604308732227
2025-09-01,Oklahoma City,Lexington,Dry Van,1022.5,2099.41,2076.557,22.853115234374854,1.0885494131386846
2025-09-01,Greensboro,Columbia,Dry Van,134.8,362.54,391.79453,29.254525146484355,8.069323425410811
2025-09-01,Grand Rapids,Fresno,Flatbed,2248.2,4425.96,4417.0957,8.864296875000036,0.20027964272157986
2025-09-01,Boston,Charleston,Reefer,780.5,1674.34,1635.4426,38.89737304687492,2.3231466157933824
2025-09-01,Syracuse,Raleigh,Dry Van,613.4,1217.27,1200.9191,16.350932617187482,1.343246167012042
2025-09-01,San Antonio,Salt Lake City,Dry Van,1125.7,2215.87,2251.7593,35.88927734375011,1.6196472421103274
2025-09-01,San Francisco,Las Vegas,Dry Van,473.7,1081.85,1082.2184,0.36838378906259095,0.034051281514312616
2025-09-01,Dayton,Lubbock,Dry Van,1247.5,2539.08,2532.8467,6.233320312499927,0.24549523104825086
2025-09-01,Lexington,Chattanooga,Flatbed,228.0,631.3,628.24304,3.0569580078124545,0.48423222046767855
2025-09-01,Mobile,Indianapolis,Dry Van,566.7,1240.32,1237.0509,3.2690966796874363,0.2635688112493096
2025-09-01,Columbia,Fort Wayne,Dry Van,578.3,1195.21,1181.8958,13.314248046875036,1.113967256538603
2025-09-01,El Paso,Albuquerque,Flatbed,171.2,505.53,570.785,65.25497314453128,12.908229609426005
2025-09-01,Phoenix,Louisville,Dry Van,2061.1,3821.49,3701.5422,119.94776367187478,3.1387695289500894
2025-09-01,Shreveport,El Paso,Reefer,1233.8,2931.77,2976.6208,44.85084960937502,1.529821562038462
2025-09-01,Reno,Richmond,Dry Van,2575.7,4389.73,4234.9673,154.76271484374956,3.5255634137805645
2025-09-01,Madison,Kansas City,Flatbed,212.9,572.82,550.5764,22.24358398437505,3.883171674238862
2025-09-01,Los Angeles,Syracuse,Dry Van,2846.6,4825.78,4869.647,43.866972656250255,0.9090131057829046
2025-09-01,San Francisco,Montgomery,Dry Van,2430.3,4468.22,4437.1934,31.026640625000255,0.6943848025612045
2025-09-01,Milwaukee,Boston,Dry Van,1187.3,2185.71,2237.523,51.812949218749964,2.370531736540985
2025-09-01,Fort Wayne,Oklahoma City,Dry Van,1163.6,2180.78,2264.2837,83.5036914062498,3.8290745240808244
2025-09-01,Memphis,Atlanta,Reefer,238.6,676.22,690.4773,14.257294921874973,2.108381136593856
2025-09-01,Fort Wayne,Shreveport,Reefer,862.1,1951.88,1889.2072,62.67284667968761,3.210896503867431
2025-09-01,New York,Lubbock,Dry Van,1896.1,3434.23,3490.567,56.33689453124998,1.6404519945155096
2025-09-01,Detroit,El Paso,Dry Van,1816.8,3250.49,3197.2415,53.24854492187478,1.6381697812291312
2025-09-01,Tucson,Albuquerque,Dry Van,463.7,985.7,1065.6382,79.93818359374995,8.109788332530176
2025-09-01,Grand Rapids,Kansas City,Dry Van,442.6,977.59,993.2712,15.681179199218718,1.6040650169517607
2025-09-01,Philadelphia,Shreveport,Reefer,1341.7,2811.5,2813.627,2.126953125,0.07565189845278322
2025-09-01,Harrisburg,Baton Rouge,Dry Van,1173.7,2379.08,2384.2349,5.154863281250073,0.21667465075785905
2025-09-01,Salt Lake City,Chattanooga,Reefer,1672.3,3669.98,3634.5784,35.40163085937502,0.9646273510857012
2025-09-01,Cincinnati,Charleston,Flatbed,533.8,1300.57,1298.2554,2.3146289062499363,0.17797034425289962
2025-09-01,Philadelphia,Albuquerque,Dry Van,2420.0,4301.88,4139.589,162.2911328125001,3.772562991354945
2025-09-01,Milwaukee,New York,Reefer,909.5,1931.02,2142.1746,211.15456054687502,10.934871754144183
2025-09-01,Baton Rouge,Fort Wayne,Reefer,987.5,2258.98,2314.2986,55.31858398437498,2.4488301793010554
2025-09-01,Madison,Oklahoma City,Dry Van,1013.8,1985.68,2027.6361,41.956108398437436,2.1129340275591955
2025-09-01,Washington,San Antonio,Dry Van,1578.1,2990.87,2899.8325,91.03748046874989,3.0438461206521814
2025-09-01,Jacksonville,Baton Rouge,Dry Van,586.7,1255.91,1290.9198,35.00979980468742,2.7876041917563694
2025-09-01,Phoenix,Chattanooga,Dry Van,2051.4,3678.91,3433.2043,245.70565429687485,6.678762304510707
2025-09-01,San Antonio,Tampa,Reefer,828.5,1959.31,1989.6086,30.298642578125055,1.5463935047606074
2025-09-01,Shreveport,Hartford,Reefer,1444.1,3101.21,3114.9685,13.758505859374964,0.4436496031992339
2025-09-01,New York,El Paso,Flatbed,2426.8,4804.71,4697.1973,107.51273437500004,2.2376529358691792
2025-09-01,Oklahoma City,El Paso,Dry Van,816.2,1797.48,1764.036,33.44398925781252,1.8606042491606314
2025-09-01,Mobile,Phoenix,Dry Van,2006.2,3816.99,3821.475,4.485097656250218,0.11750352126283323
2025-09-01,Nashville,Syracuse,Dry Van,945.9,1758.12,1826.6505,68.53051269531261,3.8979428420877196
2025-09-01,Lexington,Boston,Dry Van,980.1,1932.73,1991.6742,58.94419433593748,3.0497893826834312
2025-09-01,New Orleans,New York,Dry Van,1369.8,2559.65,2565.9333,6.283349609374909,0.24547690541186917
2025-09-01,Fresno,Philadelphia,Flatbed,3029.1,5774.35,5534.7554,239.59462890625036,4.149291762817466
2025-09-01,Greensboro,Jacksonville,Flatbed,365.7,170.36,960.8989,790.53892578125,464.04022410263553
2025-09-01,Dayton,Kansas City,Flatbed,368.0,903.41,922.9938,19.583774414062532,2.1677615273311712
2025-09-01,Philadelphia,San Antonio,Reefer,1852.2,4025.92,4014.3552,11.564775390625073,0.2872579532287048
2025-09-01,Baton Rouge,Syracuse,Reefer,1435.3,2995.32,2996.2551,0.9351269531248363,0.031219601015078063
2025-09-01,Houston,Shreveport,Dry Van,233.7,625.19,617.49554,7.694455566406305,1.2307387460462105
2025-09-01,Raleigh,Indianapolis,Dry Van,769.8,1603.62,1573.4135,30.20654785156239,1.883647488280415
2025-09-01,Shreveport,Richmond,Dry Van,1088.7,2282.16,2315.8127,33.652744140625146,1.4746005600231862
2025-09-01,Charleston,Tulsa,Dry Van,1026.5,2156.07,2069.7563,86.31365234375016,4.003286180121711
2025-09-01,Reno,Toledo,Reefer,2093.5,4271.25,4245.4473,25.802734375,0.6041026485220954
2025-09-01,Shreveport,Atlanta,Reefer,462.2,1208.44,1219.6155,11.175478515624945,0.9247855512582291
2025-09-01,Lubbock,Baton Rouge,Flatbed,520.0,1359.2,1353.0708,6.1291992187500455,0.4509416729510039
2025-09-01,Buffalo,San Francisco,Dry Van,2670.9,4943.0,4589.5586,353.44140625,7.150342024074449
2025-09-01,Montgomery,Little Rock,Reefer,474.7,1211.88,1207.4923,4.387690429687609,0.36205650969465697
2025-09-01,Lubbock,Providence,Dry Van,2164.1,4176.25,4079.9614,96.28857421875,2.3056228486979946
2025-09-01,Cincinnati,Syracuse,Reefer,781.7,1783.92,1754.7035,29.216508789062573,1.6377701236077051
2025-09-01,Mobile,Phoenix,Flatbed,1971.5,4093.8,4053.8875,39.91254882812518,0.9749511170092623
2025-09-01,Charleston,Harrisburg,Flatbed,493.1,1170.43,1167.5472,2.8827587890625637,0.24629911990145192
2025-09-01,Tampa,Charleston,Dry Van,702.8,1531.76,1485.6971,46.06285644531249,3.007184966660083
2025-09-01,El Paso,St. Louis,Reefer,1416.9,3029.69,3068.4802,38.790224609374945,1.2803364241679822
2025-09-01,Green Bay,Philadelphia,Dry Van,973.7,1823.43,1842.2281,18.798149414062436,1.0309224600923772
2025-09-01,Tucson,Memphis,Reefer,1625.7,3550.19,3493.6516,56.538388671875055,1.5925454319874446
2025-09-01,Houston,Bakersfield,Flatbed,1476.1,3088.61,3009.2717,79.33827148437513,2.5687371174857017
2025-09-01,Lubbock,Bakersfield,Reefer,1173.0,2651.65,2684.0532,32.40322265624991,1.2220022497784362
2025-09-01,Tucson,Phoenix,Flatbed,282.2,697.21,795.4705,98.26052001953121,14.093389368989431
2025-09-01,Fort Wayne,San Francisco,Flatbed,2328.5,4672.93,4352.9243,320.0056835937503,6.848073555429897
2025-09-01,Bakersfield,Savannah,Dry Van,2320.1,4100.58,3952.2463,148.33366210937493,3.617382470513316
2025-09-01,Albuquerque,Milwaukee,Dry Van,1416.2,2638.3,2947.8838,309.5837890624998,11.734214799776362
2025-09-01,Atlanta,Bakersfield,Dry Van,1972.8,3906.01,3705.612,200.39793945312522,5.130502468071644
2025-09-01,Grand Rapids,New York,Flatbed,799.3,1650.6,1547.7411,102.85891113281241,6.2316073629475595
2025-09-01,Columbia,Hartford,Dry Van,818.9,1660.7,1653.4745,7.2255126953125455,0.4350883781123951
2025-09-01,Jacksonville,Memphis,Dry Van,473.2,1080.36,1120.4823,40.1222998046876,3.7137898297500462
2025-09-01,Montgomery,Phoenix,Reefer,2035.9,4108.95,3955.988,152.96196289062482,3.7226533029271422
2025-09-01,New Orleans,Toledo,Dry Van,916.7,1846.81,1850.166,3.3560156250000546,0.18171959351530773
2025-09-01,New Orleans,Grand Rapids,Flatbed,945.5,2020.1,2005.7109,14.389062499999909,0.7122945646255091
2025-09-01,Amarillo,Lexington,Dry Van,1356.3,2581.57,2583.165,1.5950390624998363,0.06178562124985324
2025-09-01,Fort Wayne,Richmond,Flatbed,612.1,1384.61,1270.1248,114.4852441406249,8.268410898420848
2025-09-01,Nashville,Mobile,Flatbed,296.8,831.27,872.53,41.26002929687502,4.963493124601516
2025-09-01,Atlanta,New Orleans,Flatbed,453.6,1132.05,1170.964,38.913989257812545,3.437479727733982
2025-09-01,Buffalo,Montgomery,Reefer,969.4,2231.06,2226.8733,4.186708984374945,0.1876555979836914
2025-09-01,Albany,Amarillo,Reefer,2204.0,4629.23,4490.6484,138.58156249999956,2.9936201592921408
2025-09-01,Baltimore,Albuquerque,Reefer,2419.3,5099.24,4814.1973,285.0427343749998,5.589906228673288
2025-09-01,Phoenix,Hartford,Dry Van,2923.7,4975.45,5013.19,37.73994140625018,0.7585231769236991
2025-09-01,Oklahoma City,Baton Rouge,Dry Van,459.7,1064.92,1072.6295,7.709516601562427,0.723952653867185
2025-09-01,Atlanta,Cincinnati,Reefer,200.4,597.28,614.0208,16.740812988281277,2.80284171381618
2025-09-02,Jacksonville,Phoenix,Reefer,2211.2,4595.4,4480.79,114.60996093749964,2.494014904850495
2025-09-02,Philadelphia,San Antonio,Dry Van,1864.5,3621.16,3556.7979,64.36214843749985,1.7773903510891496
2025-09-02,Madison,Los Angeles,Dry Van,2064.0,3845.42,3708.6003,136.81965820312507,3.5579899777690107
2025-09-02,Louisville,Mobile,Dry Van,465.3,1036.45,1035.9642,0.4857666015625455,0.04686831024772497
2025-09-02,Shreveport,Baton Rouge,Dry Van,190.5,537.66,524.41693,13.243068847656218,2.463093562410486
2025-09-02,Columbia,San Antonio,Dry Van,1112.2,2250.41,2182.7627,67.64730468749985,3.005999115161231
2025-09-02,Jacksonville,Richmond,Dry Van,711.5,1496.94,1447.4375,49.502500000000055,3.3069127687148487
2025-09-02,Tulsa,Buffalo,Dry Van,1218.9,2435.72,2424.7332,10.9868457031248,0.451071785883632
2025-09-02,Phoenix,Boston,Flatbed,3119.2,6323.82,6167.4883,156.3317187499997,2.4721089270409298
2025-09-02,Albany,Toledo,Flatbed,835.3,1820.96,1753.2809,67.67911621093754,3.7166723163022546
2025-09-02,Shreveport,Dayton,Flatbed,740.1,1755.11,1744.5261,10.5838769531249,0.6030321149742695
2025-09-02,Charleston,Lexington,Reefer,422.1,1069.87,1094.7539,24.88390625000011,2.325881298662465
2025-09-02,Kansas City,Boston,Flatbed,1350.3,2949.22,2887.1858,62.0342089843748,2.103410697892148
2025-09-02,Columbia,Lubbock,Dry Van,1220.8,2536.23,2548.5527,12.322734374999982,0.48586817343064237
2025-09-02,Washington,Mobile,Dry Van,918.8,1919.59,1842.1729,77.41714843749992,4.0330043622596445
2025-09-02,Phoenix,Syracuse,Dry Van,2801.3,4617.91,4988.8613,370.95132812500015,8.032883449980623
2025-09-02,Columbia,Fort Wayne,Dry Van,571.0,1258.57,1221.3617,37.208305664062436,2.956395406219951
2025-09-02,Baton Rouge,Lubbock,Reefer,528.7,1433.77,1426.4225,7.347514648437482,0.5124611791596617
2025-09-02,Reno,Cincinnati,Dry Van,2055.1,3736.23,3660.857,75.37306640625002,2.0173561693538677
2025-09-02,Fort Wayne,Hartford,Flatbed,835.5,1727.75,1685.0332,42.716796875,2.472394552163218
2025-09-02,Richmond,Baltimore,Dry Van,276.0,624.33,604.9748,19.35520751953129,3.1001565709690855
2025-09-02,Los Angeles,El Paso,Dry Van,616.2,1272.52,1297.7456,25.225605468750018,1.982334695623646
2025-09-02,Tucson,Lubbock,Dry Van,924.6,2012.09,1869.4158,142.67422851562492,7.09084725413003
2025-09-02,Atlanta,Montgomery,Dry Van,287.2,707.77,679.83026,27.939738769531232,3.9475731903769913
2025-09-02,Houston,Hartford,Flatbed,1698.2,3591.23,3395.7527,195.47731445312502,5.443185606411314
2025-09-02,Green Bay,Detroit,Dry Van,237.2,555.34,567.1851,11.845119628906218,2.132949117460694
2025-09-02,Nashville,Fort Wayne,Reefer,540.7,1352.42,1387.6315,35.21146972656243,2.6035898409194203
2025-09-02,Shreveport,El Paso,Dry Van,1217.9,2666.14,2498.4973,167.64268554687487,6.287842556912798
2025-09-02,Albany,Atlanta,Reefer,1174.8,2476.54,2535.8933,59.353310546875036,2.3966223257801222
2025-09-02,El Paso,Amarillo,Flatbed,427.7,1058.7,1039.9047,18.795336914062545,1.7753222739267538
2025-09-02,Raleigh,Mobile,Flatbed,818.5,1824.73,1864.999,40.26902343749998,2.2068483248206574
2025-09-02,Cincinnati,El Paso,Reefer,1572.7,3424.84,3432.0515,7.2115136718748545,0.21056498031659446
2025-09-02,Bakersfield,Albany,Dry Van,2902.1,5041.13,5041.257,0.12683593749989086,0.002516021953409074
2025-09-02,Nashville,Houston,Dry Van,629.1,1331.36,1400.76,69.4000097656251,5.212715551438011
2025-09-02,Providence,Albany,Reefer,556.4,1309.45,1284.9955,24.454516601562545,1.8675410746162544
2025-09-02,San Antonio,Amarillo,Flatbed,508.7,1223.28,1243.1256,19.845610351562527,1.622327705150295
2025-09-02,Salt Lake City,San Antonio,Dry Van,1100.5,2249.04,2274.6533,25.613320312500036,1.1388557034334665
2025-09-02,Mobile,Albuquerque,Reefer,1485.1,3292.86,3199.4778,93.38221679687513,2.8359000017272256
2025-09-02,New York,Dayton,Dry Van,755.1,1464.17,1410.1107,54.05928222656257,3.692145189872936
2025-09-02,Birmingham,Fort Wayne,Dry Van,645.9,1328.24,1295.9001,32.33985351562501,2.4347899111324014
2025-09-02,Austin,Greensboro,Dry Van,1245.7,2566.52,2550.1155,16.404521484374982,0.639173724902786
2025-09-02,Oklahoma City,Atlanta,Reefer,859.5,2064.9,2067.6138,2.713769531249909,0.1314237750617419
2025-09-02,Bakersfield,Tucson,Dry Van,323.2,748.11,731.56244,16.547561035156264,2.2119154984101623
2025-09-02,Philadelphia,Fort Wayne,Reefer,788.7,1697.16,1636.0974,61.06258789062508,3.5979275902463574
2025-09-02,Mobile,Milwaukee,Dry Van,630.4,1408.45,1409.2935,0.8434570312499545,0.05988547916148635
2025-09-02,Atlanta,Mobile,Dry Van,299.4,733.24,707.4232,25.81678222656251,3.520918420512044
2025-09-02,Fort Wayne,Amarillo,Reefer,1414.4,3208.32,3039.2537,169.06633789062516,5.269622041773426
2025-09-02,Dayton,New York,Flatbed,721.7,1629.6,1557.0608,72.53920898437491,4.4513505758698395
2025-09-02,Fresno,Columbia,Dry Van,2432.9,4484.01,4500.5117,16.50171874999978,0.3680125323092451
2025-09-02,Kansas City,Albany,Dry Van,1256.8,2440.1,2355.7212,84.37880859374991,3.458006171622061
2025-09-02,Hartford,Syracuse,Reefer,403.9,971.68,973.9514,2.27141601562505,0.2337617338655782
2025-09-02,Albany,Mobile,Dry Van,1485.9,2932.54,2846.8455,85.69454101562496,2.9221951283060066
2025-09-02,Cincinnati,Bakersfield,Reefer,1952.9,4163.72,4144.575,19.144804687500255,0.4598004834018679
2025-09-02,Baton Rouge,San Antonio,Dry Van,423.3,971.1,911.0326,60.06740722656252,6.185501722434612
2025-09-02,Raleigh,Chattanooga,Dry Van,641.0,1426.2,1403.9626,22.237353515625045,1.5592030231121192
2025-09-02,Bakersfield,Memphis,Flatbed,1819.9,3818.1,3825.9287,7.828710937500091,0.2050420611691703
2025-09-02,Louisville,El Paso,Dry Van,1535.7,2983.74,2946.8293,36.91065429687478,1.2370600084750945
2025-09-02,New York,Madison,Reefer,997.6,2106.36,2152.937,46.57701171874987,2.2112559922686468
2025-09-02,Montgomery,Albuquerque,Dry Van,1637.1,3245.38,3175.365,70.01500976562511,2.1573747840199022
2025-09-02,Montgomery,Atlanta,Dry Van,303.4,716.13,693.38824,22.741755371093745,3.175646233378541
2025-09-02,Baton Rouge,Austin,Dry Van,515.8,1193.79,1168.1152,25.674765624999964,2.150693641679019
2025-09-02,Fort Wayne,Boston,Dry Van,1029.0,2066.21,2023.5098,42.700234375000036,2.066597024261814
2025-09-02,Atlanta,Baton Rouge,Dry Van,564.4,1278.23,1161.9907,116.23927734375002,9.093768519261012
2025-09-02,New York,Milwaukee,Flatbed,908.5,1949.92,1912.0903,37.82966796875007,1.9400625650667758
2025-09-02,Green Bay,Greensboro,Dry Van,755.1,1593.01,1541.6656,51.34435058593749,3.2231028421627923
2025-09-02,Detroit,Birmingham,Flatbed,832.1,1798.74,1716.0227,82.71729492187501,4.598624310454818
2025-09-02,Tucson,Cincinnati,Dry Van,1893.5,3556.26,3506.2854,49.97459960937522,1.405257197431437
2025-09-02,Atlanta,Boston,Dry Van,1153.5,2136.24,2188.3813,52.14134765625022,2.4408000812759907
2025-09-02,Los Angeles,Reno,Reefer,884.2,2000.26,1978.9606,21.29942871093749,1.064833007255931
2025-09-02,Cincinnati,Lubbock,Dry Van,1055.0,2167.17,2228.615,61.44499023437493,2.8352639725713686
2025-09-02,Atlanta,Lexington,Reefer,206.1,607.3,606.6206,0.6793945312499545,0.11187132080519588
2025-09-02,Raleigh,Greensboro,Dry Van,383.3,889.82,972.09174,82.2717358398437,9.245885217217381
2025-09-02,Toledo,Charleston,Dry Van,709.2,1406.42,1406.4161,0.0038623046875727596,0.0002746195793271398
2025-09-02,Charleston,Tampa,Dry Van,712.8,1436.54,1422.2155,14.324545898437464,0.9971560762970375
2025-09-02,Reno,Atlanta,Flatbed,2038.3,4129.04,4095.75,33.289999999999964,0.8062406757987319
2025-09-02,Hartford,Richmond,Reefer,334.8,309.15,873.15125,564.0012451171875,182.43611357502428
2025-09-02,San Antonio,Reno,Reefer,1546.9,3408.34,3462.708,54.368007812499854,1.5951462533814071
2025-09-02,Bakersfield,Jacksonville,Flatbed,2168.1,4460.9,4262.226,198.67392578124964,4.453673603560933
2025-09-02,Montgomery,El Paso,Dry Van,1632.0,3214.87,3228.433,13.56310546875011,0.4218865916429003
2025-09-02,Bakersfield,Philadelphia,Flatbed,2837.4,5681.04,5615.505,65.53511718749996,1.153576056276667
2025-09-02,Richmond,Columbia,Reefer,529.8,1206.46,1209.2604,2.8003759765624636,0.23211511169557744
2025-09-02,Dallas,Chattanooga,Flatbed,575.9,1346.17,1703.7083,357.5382519531249,26.55966571481499
2025-09-02,San Francisco,Fort Wayne,Flatbed,2305.3,4389.4,4283.412,105.98789062499964,2.4146327658677644
2025-09-02,Memphis,Louisville,Reefer,206.4,596.38,617.17535,20.795354003906255,3.4869301458644246
2025-09-02,Amarillo,Austin,Reefer,445.9,1179.97,1146.8744,33.09561035156253,2.8047840497269023
2025-09-02,Reno,Kansas City,Flatbed,1725.3,3426.51,3553.827,127.31690429687478,3.715643739457196
2025-09-02,Chattanooga,Richmond,Dry Van,728.6,1540.25,1423.1108,117.13916015625,7.605204360087649
2025-09-02,Atlanta,Greensboro,Dry Van,266.0,685.55,699.4403,13.890307617187545,2.026155293879009
2025-09-02,San Antonio,Savannah,Flatbed,1151.5,2445.9,2439.7666,6.133398437500091,0.25076243662864756
2025-09-02,Lexington,Amarillo,Reefer,1321.2,2989.15,2921.5957,67.55429687500009,2.259983502835257
2025-09-02,Austin,Madison,Dry Van,1207.9,2450.2,2425.89,24.310107421874818,0.9921682891957726
