pickup,delivery,count,MAE,mean_actual,mean_prediction
New York,Bakersfield,6,140.60267252604157,5085.196666666667,4944.594
Chattanooga,Phoenix,7,139.85854771205362,4161.418571428571,4021.56
Columbia,Phoenix,8,139.1847644042969,4348.36375,4209.179
Philadelphia,Albuquerque,8,138.75543823242185,4511.46,4376.1206
Los Angeles,Buffalo,7,138.052583705357,5001.847142857143,4866.6797
Raleigh,Greensboro,6,137.65524007161454,906.57,1044.2252
Tucson,Greensboro,6,137.56524902343745,4017.601666666667,3880.0364
Phoenix,Hartford,10,135.88349804687496,5637.623,5501.7393
Milwaukee,Greensboro,5,134.74104052734373,996.5799999999999,1111.927
Baton Rouge,Bakersfield,7,132.30087332589295,3501.5128571428572,3369.2122
San Antonio,Phoenix,5,131.241365234375,2818.0919999999996,2686.8506
Buffalo,San Francisco,6,128.38457356770837,5230.155,5101.7705
Reno,Fort Wayne,5,127.56340039062506,3794.522,3922.0854
Boston,Oklahoma City,5,125.55990039062507,4043.762,3918.202
Mobile,Fresno,6,124.55373372395836,4151.893333333333,4027.3396
New York,Grand Rapids,5,124.33846484375003,1779.1119999999999,1654.7734
Bakersfield,Syracuse,8,123.83497558593763,4855.73,4812.418
Milwaukee,New York,7,123.58049665178575,2001.25,2124.8306
Atlanta,Tucson,6,123.42525065104171,3909.84,3808.215
Tucson,Albuquerque,5,123.01183398437499,1060.468,1183.4799
San Antonio,Fort Wayne,7,122.71101143973205,2807.031428571429,2684.3203
Bakersfield,Charleston,5,122.64105468750022,4748.286,4640.7
Tucson,Baton Rouge,5,121.93207421875005,2991.448,3108.4995
Charleston,Tulsa,5,121.88601171875007,2372.3740000000003,2250.4878
Oklahoma City,Albany,6,121.19757812499999,4186.013333333333,4064.8157
Hartford,Albuquerque,5,119.0012578124999,4703.2119999999995,4584.211
Mobile,Tucson,5,118.98000976562507,3509.5699999999997,3390.5898
Mobile,Los Angeles,6,117.73787760416674,4157.053333333333,4058.1074
Richmond,Los Angeles,5,117.42209374999985,5053.496,4938.712
Charleston,Los Angeles,5,116.61430078125014,4949.755999999999,4833.1416
Los Angeles,Grand Rapids,5,116.38678125000024,4510.636,4394.249
Tucson,Albany,5,116.16574999999975,5496.022,5379.8564
Phoenix,Baton Rouge,10,115.59170410156248,3307.78,3192.6633
Lubbock,Los Angeles,6,114.2602994791667,2534.6766666666667,2437.4658
New York,Baton Rouge,6,114.21396972656255,2974.8116666666665,2860.5977
Milwaukee,Hartford,5,111.6167783203125,2096.1440000000002,1984.5271
Cincinnati,Oklahoma City,6,109.36349202473961,2148.1383333333333,2038.7748
Atlanta,Bakersfield,12,109.28300048828119,4064.4991666666665,3955.216
Fresno,Corpus Christi,5,109.18958203124994,3447.068,3337.8784
Greensboro,Fresno,5,109.10509374999984,4775.162,4752.079
El Paso,Kansas City,5,108.18932421875006,2755.682,2647.4927
Fort Wayne,El Paso,5,107.49131640625001,3409.0919999999996,3301.6008
Cincinnati,Kansas City,7,106.56528913225448,741.8128571428571,833.25214
Kansas City,Tucson,7,105.75166992187496,3444.1114285714284,3338.3596
Fresno,Syracuse,7,104.01856026785701,5366.918571428571,5280.4097
Nashville,Greensboro,6,103.3979296875,808.9066666666666,883.4302
Richmond,Tucson,6,102.71799804687483,4860.303333333333,4786.757
Bakersfield,Fort Wayne,6,102.42469238281258,4047.351666666667,3958.0593
Salt Lake City,Fort Wayne,5,102.30881249999993,3505.112,3596.1667
Philadelphia,Bakersfield,6,101.3844075520833,5619.509999999999,5564.5913
Grand Rapids,Los Angeles,5,101.22051171875,4390.158,4305.1865
Toledo,Montgomery,5,101.04247363281247,2022.182,1921.1394
Bakersfield,Albany,6,99.99695312500005,5242.08,5307.5513
Tulsa,Lexington,7,99.1758607700893,1716.0814285714284,1815.2572
Albuquerque,San Antonio,5,97.63857910156261,2135.9700000000003,2038.3314
Cincinnati,Fresno,5,97.38426757812522,4298.776,4204.1963
Kansas City,Syracuse,5,97.37631445312499,1832.95,1923.2156
Fresno,Nashville,6,96.9696679687501,4441.998333333333,4371.8945
Oklahoma City,Phoenix,7,95.98596679687509,2620.4300000000003,2531.903
Oklahoma City,Charleston,6,94.63660644531251,2775.1566666666663,2680.52
San Antonio,Buffalo,6,94.08759765625003,3248.0750000000003,3155.618
El Paso,Charleston,5,93.99438671874995,3921.9260000000004,3939.9211
El Paso,Raleigh,5,93.60373828124993,4435.91,4358.5986
Bakersfield,San Antonio,5,92.51210156249999,2761.108,2668.596
Albany,Amarillo,7,92.14389369419645,4422.172857142857,4381.871
San Antonio,Reno,5,91.46887304687507,3175.074,3083.605
Los Angeles,Baton Rouge,6,91.38103190104175,3320.6983333333337,3229.3174
Tucson,Charleston,5,90.97371093749999,4189.638,4169.0415
Tucson,Jacksonville,5,90.66181835937496,3960.9300000000003,3880.7656
Phoenix,Montgomery,6,88.82671875000021,4148.231666666667,4059.405
Baton Rouge,Fort Wayne,5,88.52821484375004,2218.276,2227.892
Fort Wayne,Amarillo,6,88.39680826822921,3018.126666666667,2929.7297
Mobile,Bakersfield,6,88.0614713541667,3998.595,3997.718
Kansas City,El Paso,5,87.345451171875,2807.558,2720.2124
Memphis,Charleston,5,86.75330761718752,1619.788,1533.0347
Philadelphia,Raleigh,7,86.11557442801339,1078.357142857143,1164.4728
Mobile,Phoenix,9,85.91559570312509,3849.3755555555554,3935.2913
Shreveport,El Paso,5,85.32115234374996,2742.79,2657.4688
Albany,Fort Wayne,7,84.65104073660716,1870.2985714285714,1787.6794
Shreveport,Cincinnati,12,83.86603556315106,1177.8708333333334,1242.3698
Dayton,New York,5,83.79168359374998,1596.166,1512.3743
Atlanta,Philadelphia,5,83.65308886718749,2104.112,2020.459
Buffalo,Baton Rouge,6,83.47462727864588,2857.065,2773.5906
Columbia,San Antonio,5,83.26657031249997,2435.182,2351.9155
Richmond,Mobile,7,83.06350027901787,2011.4757142857143,1928.4122
Corpus Christi,Fort Wayne,6,82.85567871093758,2663.4933333333333,2580.6377
Dayton,Jacksonville,5,82.48274414062499,1497.0700000000002,1414.5873
Bakersfield,Greensboro,6,82.40499837239592,4490.365000000001,4407.96
Hartford,Corpus Christi,7,82.00936244419647,3678.6785714285716,3626.7676
Fresno,Jacksonville,5,82.00110156249994,4689.572,4607.5713
Charleston,Bakersfield,5,81.92477343749997,4778.182,4696.257
Milwaukee,Mobile,7,81.19199218749999,1480.5071428571428,1399.3152
Grand Rapids,Chattanooga,5,80.87995703124997,1431.724,1350.844
Houston,Richmond,5,80.38490429687499,2746.458,2666.073
Lexington,Tulsa,5,80.163767578125,1580.202,1500.0383
El Paso,Cincinnati,5,79.71288085937503,3056.174,3117.13
Amarillo,Phoenix,7,79.33211635044641,1859.2285714285715,1785.3721
Green Bay,Mobile,5,78.78519531250004,2167.91,2089.1248
Richmond,San Antonio,7,78.53874441964282,3185.671428571429,3125.9421
Corpus Christi,Phoenix,5,78.42967382812495,3030.986,2989.5288
Phoenix,Nashville,6,75.29201009114574,3927.568333333333,3862.8018
Lubbock,Nashville,6,74.77134358723954,2113.54,2038.7687
Bakersfield,Richmond,6,74.65338867187499,5121.846666666667,5047.1934
Richmond,Green Bay,5,74.4555419921875,1735.4,1660.9446
Richmond,Memphis,6,74.08312662760416,1880.1116666666667,1808.3486
New York,Atlanta,5,73.8333349609375,1944.7220000000002,1871.5479
Kansas City,Houston,6,73.65668863932292,1718.8216666666667,1645.165
Cincinnati,Baton Rouge,6,72.8912752278646,1592.7716666666668,1519.8804
Fresno,Columbia,9,72.7651367187501,4713.38,4681.869
Fort Wayne,Richmond,8,72.68548767089842,1370.92,1298.2345
Columbia,Buffalo,8,72.5182385253907,1461.605,1389.0868
Lexington,Oklahoma City,5,72.35061523437507,2359.27,2286.9194
Fort Wayne,Mobile,6,71.7705110677083,1832.2883333333332,1760.518
New York,Lexington,7,71.66399414062501,1636.2842857142857,1564.6202
Charleston,El Paso,6,71.53457845052064,3971.6150000000002,3947.0598
Memphis,Grand Rapids,5,71.26797656250001,1519.992,1448.724
Oklahoma City,Richmond,7,71.17628069196417,3189.9199999999996,3119.0945
Hartford,St. Louis,5,70.8588007812501,2279.9880000000003,2209.1294
Nashville,Phoenix,5,70.43341406250002,3811.95,3779.0874
Tucson,Lubbock,5,70.22830859374999,2089.562,2019.3337
Kansas City,Phoenix,6,70.19476074218748,3848.9716666666664,3833.5164
Atlanta,Montgomery,5,70.123927734375,774.048,703.9241
Kansas City,Jacksonville,5,69.327876953125,1682.9900000000002,1617.8494
Milwaukee,El Paso,6,69.30995117187497,3163.3416666666667,3155.056
Atlanta,Nashville,5,68.96476318359376,370.816,439.45035
San Antonio,Atlanta,5,68.74635253906258,2115.634,2054.8352
Los Angeles,Memphis,9,68.56274305555559,3845.478888888889,3807.6357
Lexington,Philadelphia,7,67.93839494977682,1762.4942857142855,1794.4662
Fort Wayne,Philadelphia,7,67.90831263950895,1635.9771428571428,1568.0687
Cincinnati,Memphis,5,67.65036035156251,573.462,630.86957
Columbia,Oklahoma City,7,67.54961914062498,2305.1185714285716,2237.5688
Reno,Lexington,7,67.40610212053578,4054.141428571428,4111.7275
San Antonio,Mobile,6,66.54611490885418,1786.615,1723.7985
Hartford,Oklahoma City,5,66.34903320312506,3936.6,3910.911
Hartford,Mobile,6,66.06084798177085,2556.0833333333335,2609.4363
Oklahoma City,Fresno,6,65.74096516927086,3090.77,3053.826
Grand Rapids,Richmond,6,65.63896321614584,1631.1599999999999,1565.521
Hartford,Grand Rapids,9,65.50144259982638,1915.342222222222,1849.8407
Oklahoma City,El Paso,6,65.18527425130208,1898.7583333333332,1833.5731
Columbia,Cincinnati,5,65.01126513671875,792.7520000000001,727.7407
Richmond,Atlanta,7,63.56281668526786,1556.4614285714285,1492.8986
Philadelphia,Columbia,6,62.66610270182294,1624.868333333333,1684.4354
Hartford,Baton Rouge,10,62.654709960937545,3080.823,3051.9165
Montgomery,Austin,5,62.56324414062497,2046.798,1992.932
Oklahoma City,Chattanooga,6,62.27756754557284,1991.0966666666666,1961.1329
Richmond,Cincinnati,10,62.173875000000024,1469.877,1407.7031
Memphis,Oklahoma City,5,61.98392089843751,1597.19,1535.206
Green Bay,Los Angeles,6,61.86471516927107,4380.641666666666,4408.151
Albuquerque,Chattanooga,6,61.79767252604173,3137.808333333333,3076.0107
New Orleans,New York,5,61.66455664062496,2721.5299999999997,2676.6096
Richmond,Oklahoma City,6,61.43993326822912,3199.42,3152.485
Montgomery,Amarillo,6,61.18424967447921,2602.155,2566.5134
Lubbock,Richmond,7,60.847158203125026,3433.0371428571425,3373.4604
Oklahoma City,Columbia,5,60.70818749999999,2265.0080000000003,2222.2485
Albany,Mobile,5,60.46549804687502,3020.13,2959.6646
Oklahoma City,Toledo,5,59.979726562499856,2538.972,2503.986
Cincinnati,Amarillo,5,59.87104101562509,2665.904,2606.033
San Antonio,Albuquerque,6,59.135426432291716,2044.97,1997.1681
Atlanta,Oklahoma City,6,59.121797688802076,2016.7166666666665,1957.5948
Fresno,Buffalo,5,59.03219531249997,4735.334,4698.5537
Buffalo,Columbia,5,58.999398437500076,1397.716,1338.7166
Green Bay,Chattanooga,5,58.77036425781248,1549.772,1491.0017
Milwaukee,Baton Rouge,5,58.591197265624984,1763.364,1704.7728
Lexington,El Paso,5,58.51926953124994,3360.494,3310.8914
Philadelphia,Lexington,10,58.342059082031234,1706.8939999999998,1648.552
Oklahoma City,Buffalo,6,58.00393391927082,3100.066666666667,3064.6025
Shreveport,Hartford,5,57.95523242187501,2972.726,2922.9907
Bakersfield,Kansas City,5,57.93108593750003,3338.344,3339.727
Raleigh,Houston,6,57.723330078125024,2527.37,2492.5498
Tucson,Amarillo,6,57.38970133463545,1453.7166666666665,1396.327
Los Angeles,Lexington,6,57.02616861979171,4134.66,4113.8335
Hartford,Lexington,7,56.873447265624954,1856.232857142857,1799.3594
Philadelphia,Greensboro,5,56.85884667968753,1558.5520000000001,1513.8905
Oklahoma City,Albuquerque,5,56.38773730468747,1895.432,1839.0443
Atlanta,Fort Wayne,8,56.34698608398435,1313.4675,1257.1205
San Antonio,Dayton,5,56.17865625000004,2627.056,2570.8774
Bakersfield,Hartford,6,55.94394205729168,5526.740000000001,5540.8438
Lexington,Fresno,5,55.83699804687503,4515.658,4476.3057
Lexington,Syracuse,7,55.755071149553615,1499.02,1449.1146
Oklahoma City,St. Louis,8,55.32953186035155,1783.98125,1728.6517
Memphis,Richmond,10,54.599674804687496,1899.3029999999999,1846.3064
Kansas City,Shreveport,7,54.590470145089284,1364.2485714285715,1311.9076
Milwaukee,Houston,5,54.349276367187485,1901.366,1847.0168
Cincinnati,Philadelphia,7,54.114688895089294,1969.3671428571429,1915.9479
Lexington,Dallas,6,54.05573567708333,1716.9683333333332,1662.9126
Hartford,Milwaukee,6,53.89857177734374,2125.5499999999997,2071.6514
Montgomery,Fort Wayne,6,53.78172200520836,1804.2733333333333,1763.7827
Grand Rapids,Mobile,5,53.77027832031249,1992.81,1939.0397
San Francisco,Syracuse,5,53.68784765625005,5041.284,5048.057
Oklahoma City,Fort Wayne,9,53.67014865451392,2470.492222222222,2442.5957
Cincinnati,Raleigh,5,53.38328320312498,1443.9180000000001,1390.5348
Phoenix,Buffalo,7,52.831157924107174,5168.572857142857,5115.7417
Oklahoma City,Tucson,5,52.79090429687494,2329.0299999999997,2291.9448
Milwaukee,Raleigh,5,52.518501953124996,1770.7459999999999,1718.8727
Albany,Atlanta,6,52.2967952473958,2457.5783333333334,2470.2075
Hartford,Reno,5,52.209371093750086,5579.134,5529.1143
Corpus Christi,Oklahoma City,7,52.09525774274554,887.2328571428571,835.13763
Lexington,Los Angeles,7,52.059765625000054,4261.567142857143,4245.019
Bakersfield,Green Bay,5,51.82601953125004,3954.63,3962.9673
Cincinnati,Bakersfield,8,51.733917236328125,3768.04375,3794.9534
Philadelphia,Cincinnati,7,51.455513392857156,1972.2614285714285,1935.7361
Columbia,Hartford,8,51.41310974121092,1789.68875,1754.3994
Savannah,Hartford,5,51.10488183593752,1744.104,1695.2761
Mobile,Hartford,5,51.05867382812494,2507.226,2518.9204
Tulsa,Richmond,7,50.8895661272321,2683.662857142857,2658.9363
Mobile,Oklahoma City,5,50.66047070312497,1693.9239999999998,1645.1201
Syracuse,Greensboro,5,50.54070800781251,1405.71,1358.0677
Boston,Montgomery,5,50.38872070312491,2666.786,2660.6206
Fort Wayne,Columbia,5,50.380984375000025,1332.42,1284.0085
Baton Rouge,Syracuse,5,49.95474414062492,2937.67,2892.0737
Shreveport,Fort Wayne,7,49.92257254464289,1893.6114285714286,1886.067
Cincinnati,Baltimore,6,49.9161759440104,1928.2583333333332,1899.485
Syracuse,Mobile,7,49.80336077008925,2362.7657142857142,2369.409
Oklahoma City,Cincinnati,5,49.79351269531244,2009.6860000000001,1960.726
Syracuse,Memphis,6,49.74004150390624,1973.1483333333333,1964.3185
Cincinnati,San Antonio,6,49.44015624999997,2284.53,2235.0898
Philadelphia,Fort Wayne,7,49.0602385602679,1695.2157142857143,1655.904
Mobile,New York,5,48.71467578125002,2485.046,2438.1824
Albany,Columbia,6,48.55960367838539,2113.733333333333,2155.3909
Nashville,Shreveport,8,48.10773986816406,985.5437499999999,939.0119
San Antonio,Los Angeles,9,47.6572504340278,2689.468888888889,2670.8013
Fresno,Oklahoma City,5,47.478234375000014,3099.85,3067.3645
Mobile,Albany,6,47.246725260416724,2830.853333333333,2783.6067
Shreveport,Grand Rapids,7,46.81492257254461,2162.654285714286,2116.5974
Greensboro,Shreveport,6,46.708413899739526,1575.96,1529.6187
Tucson,Lexington,6,46.318525390625005,3801.043333333333,3766.959
Bakersfield,Lubbock,6,46.19943359375005,2427.3866666666668,2457.8354
Philadelphia,Oklahoma City,5,45.97589648437497,3675.226,3647.8157
Memphis,Bakersfield,5,45.62147265625008,3546.388,3560.609
Amarillo,Baton Rouge,7,45.54827427455358,1883.4242857142856,1837.876
Indianapolis,Phoenix,5,45.478482421874745,4089.834,4044.3555
Amarillo,Lexington,7,44.54186523437511,2700.3771428571426,2696.0642
Lubbock,Mobile,5,44.25509472656249,1929.08,1891.2444
Albuquerque,Memphis,5,44.24995703124996,2786.992,2757.7131
El Paso,Los Angeles,5,43.994826171875005,1356.452,1400.4469
Milwaukee,Albany,5,43.88297460937501,2325.934,2282.051
Nashville,Richmond,8,43.59339904785156,1755.0787500000001,1722.1438
Nashville,Philadelphia,8,43.4988555908204,2141.6775,2108.0195
Kansas City,Richmond,7,43.470660574776794,1912.6642857142856,1887.0437
Fort Wayne,Nashville,5,43.455901367187515,1276.928,1236.991
El Paso,Mobile,5,43.302712890625116,3024.822,2985.1904
Amarillo,Los Angeles,6,42.82939534505215,2100.6733333333336,2063.912
Oklahoma City,Kansas City,5,42.79286230468747,1778.834,1736.0413
Nashville,Oklahoma City,6,42.770185546875005,1770.4583333333333,1731.1708
Oklahoma City,Nashville,6,42.727504882812504,1782.5833333333333,1763.8594
Fort Wayne,Baton Rouge,7,42.69959402901798,2231.035714285714,2201.9226
El Paso,Baton Rouge,5,42.60630273437501,2748.838,2718.1072
Corpus Christi,Cincinnati,5,42.39281933593761,2123.608,2115.8403
Phoenix,Tucson,6,42.109149576822915,744.7516666666667,702.6425
Montgomery,Richmond,6,42.09870035807296,1734.8933333333334,1735.349
Philadelphia,Memphis,5,42.06078515624995,2354.7120000000004,2366.5898
Milwaukee,Buffalo,5,41.96682226562503,1367.99,1334.3987
Atlanta,Albany,6,41.679999999999986,2403.0316666666663,2412.7314
Los Angeles,Fort Wayne,6,41.5941666666666,4411.155,4371.839
Toledo,Richmond,6,41.33118977864584,1265.5833333333333,1226.3734
Dayton,San Antonio,6,41.094583333333354,2575.9983333333334,2542.5627
Milwaukee,Amarillo,6,40.87189615885412,2368.0616666666665,2344.6226
Kansas City,Albany,5,40.491087890625025,2443.04,2430.8381
Fort Wayne,Shreveport,9,40.30135199652778,1866.2066666666667,1826.86
Greensboro,Hartford,6,40.209877115885355,1554.7066666666667,1520.4471
Green Bay,Bakersfield,8,39.939100341796745,3958.40125,3931.5293
Kansas City,Hartford,7,39.91838309151789,2419.3614285714284,2379.443
Baton Rouge,Oklahoma City,6,39.86350341796875,1085.1883333333333,1059.2128
Baton Rouge,Lubbock,7,39.784345005580334,1364.1971428571428,1341.3024
Lexington,Albuquerque,5,39.76523046875,3230.18,3196.161
Hartford,Kansas City,7,39.71747767857141,2401.4357142857143,2391.6794
Cincinnati,Syracuse,8,39.60751098632815,1575.82625,1540.0654
New York,Raleigh,6,39.55564615885417,1041.2266666666667,1001.6711
Savannah,New York,5,39.5533447265625,1569.3,1529.7467
Mobile,Memphis,6,39.50051798502604,853.8116666666666,893.3122
Fort Wayne,Baltimore,5,38.942458007812505,1797.498,1758.5554
El Paso,Tampa,5,38.86161523437513,3431.386,3400.836
San Antonio,Memphis,6,38.541518554687514,1784.93,1747.9395
Cincinnati,Harrisburg,6,38.53099446614586,1335.9716666666666,1307.1105
Chattanooga,Amarillo,5,38.49786914062488,2493.596,2466.5747
Memphis,Kansas City,5,38.07347119140623,824.4159999999999,792.9047
Montgomery,Los Angeles,5,37.80272851562495,4116.62,4114.5674
Montgomery,New York,5,37.74480957031265,2272.226,2255.6646
Los Angeles,Reno,5,37.692246093749965,1961.618,1990.4553
Houston,Greensboro,6,36.81851074218749,2126.515,2095.092
Richmond,Albany,5,36.50840332031248,1309.836,1277.8774
Greensboro,Houston,5,36.500687500000005,1921.94,1906.1775
Phoenix,San Antonio,5,36.468238281250066,2581.1580000000004,2559.7153
Albany,Kansas City,5,36.333056640625,2556.124,2559.2031
Fort Wayne,Oklahoma City,5,36.29956835937501,2409.066,2416.372
Shreveport,Oklahoma City,8,35.96279357910157,1139.275,1108.1588
Tucson,Atlanta,8,35.91467041015625,3673.815,3681.9915
Baton Rouge,Richmond,7,35.90824079241065,2569.194285714286,2543.1714
Fort Wayne,Corpus Christi,5,35.88362109375002,2529.022,2493.1382
Hartford,Baltimore,5,35.55026782226562,363.582,328.03174
Fort Wayne,Memphis,7,35.49940220424105,1234.8799999999999,1199.3806
Greensboro,Buffalo,6,35.28930419921877,1233.1483333333333,1197.859
Oklahoma City,Atlanta,6,35.15864908854163,1913.79,1924.6385
Mobile,Chattanooga,5,35.063307617187476,793.296,814.9577
Montgomery,Atlanta,5,34.856524414062484,742.934,713.6707
Nashville,Hartford,5,34.80819335937499,2191.69,2226.4983
Baltimore,Montgomery,5,34.612568359374926,2221.254,2250.5623
Cincinnati,Shreveport,6,34.235891927083344,1299.8416666666667,1283.19
Memphis,Syracuse,6,34.20990804036463,2116.775,2087.084
Toledo,Mobile,5,33.80861132812497,1764.032,1730.2234
Boston,Charleston,5,33.753165039062466,1632.184,1598.4309
Atlanta,Boston,5,33.668509765625096,2299.422,2278.9478
Nashville,Bakersfield,5,33.60121484375004,3757.082,3761.7642
Milwaukee,Grand Rapids,5,33.53779638671877,824.016,790.5641
Toledo,Charleston,5,33.39173632812499,1468.666,1442.5256
