route,count,mean,median
Hartford → Amarillo,32,4238.3771875,4235.1900000000005
Nashville → Tucson,32,3440.2703125,3429.005
Nashville → Lexington,32,668.5865625,669.1099999999999
Lexington → Fort Wayne,32,856.5890625,848.6099999999999
Bakersfield → Cincinnati,32,3858.7546875,3918.025
Fort Wayne → Richmond,32,1342.185625,1328.02
San Antonio → Fort Wayne,32,2754.4878125,2748.52
Nashville → Mobile,32,773.3675,763.125
Oklahoma City → Cincinnati,31,1964.2293548387097,1945.39
Los Angeles → Baton Rouge,31,3446.2109677419357,3414.94
Shreveport → Nashville,31,974.9435483870968,970.25
Richmond → San Antonio,31,3228.187096774194,3193.71
Richmond → Philadelphia,31,663.7570967741935,655.92
Phoenix → Atlanta,31,4153.724516129032,4123.6
Baton Rouge → Columbia,31,1636.5045161290323,1633.24
Cincinnati → Lexington,31,399.74354838709684,376.82
Kansas City → Los Angeles,31,3665.9748387096774,3831.02
Phoenix → Nashville,31,4358.1325806451605,3930.73
Phoenix → Lexington,31,4395.762580645161,4117.77
Cincinnati → Baton Rouge,30,1560.4606666666666,1539.595
Baton Rouge → Cincinnati,30,1574.6456666666668,1621.405
Baton Rouge → Hartford,30,3062.273,3062.31
Baton Rouge → Memphis,30,1146.683,1154.605
Hartford → Kansas City,30,2388.097,2379.605
Atlanta → Cincinnati,30,563.7090000000001,571.4000000000001
Atlanta → Phoenix,30,4430.9039999999995,4116.0199999999995
Atlanta → Oklahoma City,30,1952.5023333333334,1963.17
Memphis → Richmond,30,1880.155,1863.885
Lexington → Nashville,30,682.2003333333333,677.8299999999999
Lexington → Oklahoma City,30,2258.8836666666666,2243.44
Bakersfield → Richmond,30,5002.021333333334,4962.469999999999
Philadelphia → Cincinnati,30,1952.9993333333334,1949.04
Richmond → Hartford,30,791.1003333333333,793.6600000000001
Oklahoma City → Phoenix,29,2564.182413793104,2544.56
Kansas City → Nashville,29,953.7944827586207,921.09
Hartford → Philadelphia,29,231.71620689655174,219.83
Phoenix → Mobile,29,3865.4724137931034,3797.47
Hartford → Nashville,29,2228.1110344827584,2179.31
Baton Rouge → Lexington,29,1714.6537931034482,1696.75
Richmond → Lexington,29,1218.7441379310346,1204.65
Lexington → Mobile,29,1174.3968965517242,1171.99
Oklahoma City → Lexington,29,2151.068275862069,2172.33
Kansas City → Tucson,29,3289.5720689655172,3310.85
Oklahoma City → Hartford,29,4087.863103448276,3895.99
Fort Wayne → Baton Rouge,29,2120.9868965517244,2098.94
Baton Rouge → Oklahoma City,29,1049.3124137931034,1062.67
Mobile → Columbia,29,1008.4393103448275,1007.0
Los Angeles → Phoenix,29,234.71068965517242,241.02
Baton Rouge → Fort Wayne,29,2355.103448275862,2154.42
Nashville → Atlanta,29,405.4262068965517,406.04
Los Angeles → Lexington,29,4279.609655172414,4276.65
Atlanta → Fort Wayne,29,1242.538275862069,1243.9
Kansas City → Phoenix,29,4028.0506896551724,3611.3
Nashville → Richmond,29,1678.7775862068966,1672.79
Amarillo → Bakersfield,29,1838.5224137931034,1826.64
San Antonio → Lexington,29,2410.4475862068966,2425.2
Shreveport → Syracuse,29,2679.0172413793102,2660.38
El Paso → Kansas City,29,3014.1386206896555,2790.7
Bakersfield → Shreveport,29,3401.3075862068963,3320.98
Bakersfield → San Antonio,29,2787.656551724138,2734.49
Cincinnati → Philadelphia,28,1888.2667857142858,1864.47
Hartford → Atlanta,28,1993.74,2032.575
Philadelphia → Richmond,28,719.6403571428572,667.2850000000001
Phoenix → Syracuse,28,5718.156785714286,4901.344999999999
Bakersfield → Fresno,28,655.6967857142856,602.255
Lexington → Los Angeles,28,4318.381785714286,4268.639999999999
Oklahoma City → Lubbock,28,565.6021428571429,572.41
Fort Wayne → Atlanta,28,1381.2553571428573,1218.63
Memphis → Lexington,28,834.3164285714286,837.235
Mobile → Hartford,28,2523.406785714286,2521.265
Syracuse → Richmond,28,894.9917857142857,900.335
Columbia → Hartford,28,1715.855,1759.76
Columbia → Kansas City,28,1379.815,1429.675
Milwaukee → Mobile,28,1467.4478571428572,1452.725
Nashville → Columbia,28,843.7007142857143,839.8199999999999
Fort Wayne → Mobile,28,1794.0060714285714,1795.22
San Antonio → Tucson,28,2287.0614285714287,2257.83
Lexington → Philadelphia,28,1913.4971428571428,1704.68
Syracuse → Columbia,28,1639.1299999999999,1663.27
Nashville → Kansas City,28,979.5071428571429,983.22
Kansas City → Lexington,28,1157.462857142857,1063.5
Richmond → Fort Wayne,28,1257.3646428571428,1269.435
Oklahoma City → San Antonio,28,603.47,599.9649999999999
Fort Wayne → San Antonio,28,2750.6121428571428,2800.34
Charleston → San Antonio,28,2894.037857142857,2908.21
Oklahoma City → Kansas City,28,1751.8675,1777.095
Kansas City → Shreveport,28,1342.962142857143,1300.88
Kansas City → Cincinnati,28,833.4975000000001,836.875
Oklahoma City → Richmond,28,3134.2114285714283,3109.755
Mobile → Nashville,27,785.9,773.52
Milwaukee → Grand Rapids,27,804.7448148148148,822.33
Columbia → Los Angeles,27,4523.396296296296,4550.03
Montgomery → Lexington,27,1123.424074074074,1088.73
Baton Rouge → Richmond,27,2708.32,2563.44
Mobile → Baton Rouge,27,879.9577777777778,863.19
Syracuse → Oklahoma City,27,3300.538888888889,3356.42
Nashville → Los Angeles,27,3949.0540740740744,3912.44
Bakersfield → Tucson,27,903.4418518518519,808.69
Bakersfield → Syracuse,27,4857.663333333334,4776.48
Shreveport → Mobile,27,789.6281481481482,782.98
Shreveport → Columbia,27,1469.681111111111,1492.31
Shreveport → Lexington,27,1428.7644444444445,1388.56
Fort Wayne → Phoenix,27,4291.221851851852,4477.52
Nashville → Philadelphia,27,2148.5362962962963,2113.37
Bakersfield → Oklahoma City,27,2612.993703703704,2556.39
Nashville → San Antonio,27,1913.4159259259259,1922.36
Lexington → Tucson,27,3919.509259259259,3849.77
Lexington → Richmond,27,1316.1348148148147,1196.5
Fresno → Atlanta,27,4345.798148148148,4305.68
San Antonio → Cincinnati,27,2233.7507407407406,2240.12
Shreveport → Bakersfield,27,3392.293333333333,3385.62
Shreveport → Atlanta,27,1124.0211111111112,1103.1
Phoenix → Fort Wayne,27,4405.257777777778,4426.22
Kansas City → Baton Rouge,27,1603.59,1618.03
Atlanta → Montgomery,27,733.5474074074074,745.68
Hartford → Mobile,27,2903.244074074074,2497.12
Hartford → Grand Rapids,27,1865.3633333333332,1838.78
Cincinnati → Oklahoma City,27,2057.3585185185184,2024.22
Phoenix → Memphis,27,3730.436666666667,3749.73
Cincinnati → Phoenix,27,3976.8814814814814,4046.22
Milwaukee → Atlanta,27,964.8196296296296,968.56
Cincinnati → Kansas City,27,829.7881481481481,844.33
Cincinnati → Hartford,27,2004.178148148148,1951.19
Cincinnati → Fort Wayne,27,876.8422222222223,876.12
Albany → Fort Wayne,26,1853.0149999999999,1839.7199999999998
Baton Rouge → El Paso,26,2617.2173076923073,2607.84
Baton Rouge → Phoenix,26,3230.668846153846,3330.8999999999996
Richmond → El Paso,26,4353.7303846153845,4295.82
Hartford → Fort Wayne,26,1952.6269230769233,1804.73
Cincinnati → Syracuse,26,1554.9111538461539,1583.2849999999999
Mobile → Lexington,26,1164.0376923076924,1141.695
Mobile → Greensboro,26,1198.5469230769231,1186.2350000000001
Memphis → Grand Rapids,26,1612.664230769231,1506.3899999999999
Montgomery → Fort Wayne,26,1758.0734615384617,1750.39
Nashville → Fort Wayne,26,1195.466923076923,1175.65
Shreveport → Green Bay,26,2143.8946153846155,2097.575
Nashville → Montgomery,26,906.5849999999999,893.69
Bakersfield → Phoenix,26,952.2365384615384,942.97
Bakersfield → Philadelphia,26,5352.825000000001,5429.52
Bakersfield → New York,26,5098.652692307693,5171.415
Bakersfield → Nashville,26,3814.182307692308,3776.065
Bakersfield → Jacksonville,26,4243.91,4281.139999999999
Shreveport → Oklahoma City,26,1136.3365384615386,1134.835
Lexington → New York,26,1614.0146153846154,1633.9699999999998
Lexington → Milwaukee,26,826.7488461538462,814.44
New York → Hartford,26,347.4080769230769,351.52
Hartford → Oklahoma City,26,4137.76,3660.73
New York → Bakersfield,26,5210.345,5061.08
Lexington → Grand Rapids,26,1236.7392307692307,1252.21
Lexington → Bakersfield,26,3893.008846153846,4059.375
Kansas City → Syracuse,26,2106.908076923077,1881.175
Richmond → Kansas City,26,1934.4742307692309,1901.365
Kansas City → Montgomery,26,1630.8123076923077,1606.745
Kansas City → Fort Wayne,26,909.9538461538461,918.51
Hartford → Richmond,26,773.8757692307693,784.01
Atlanta → Bakersfield,26,4060.5942307692308,4079.375
Richmond → Atlanta,26,1528.6084615384616,1525.08
Greensboro → Baton Rouge,26,1842.0142307692308,1823.67
Hartford → Phoenix,26,5672.923461538462,5673.344999999999
Cincinnati → Columbia,26,796.4569230769231,797.745
Baton Rouge → Bakersfield,26,3468.913076923077,3447.94
Columbia → Fort Wayne,25,1281.3980000000001,1258.57
Houston → Atlanta,25,1554.5964,1535.6
Phoenix → Charleston,25,5350.8212,4597.89
Phoenix → Cincinnati,25,4022.6079999999997,4016.1
Charleston → Baton Rouge,25,2016.5032,2053.06
Phoenix → Lubbock,25,2426.2956,2380.21
Atlanta → San Antonio,25,2188.1367999999998,2079.12
Milwaukee → Kansas City,25,475.2756,486.72
Milwaukee → Hartford,25,2025.3608,2052.74
Milwaukee → Fort Wayne,25,624.4972,638.26
Philadelphia → Hartford,25,217.87599999999998,218.13
Philadelphia → Oklahoma City,25,3640.1608,3612.88
Richmond → Baton Rouge,25,2548.8084,2511.08
Hartford → Shreveport,25,2854.6,2851.64
Houston → Nashville,25,1489.3228,1481.4
Hartford → Lexington,25,1778.5312,1735.84
Lexington → Green Bay,25,1588.8132,1354.13
San Antonio → Amarillo,25,1271.4948,1270.25
Grand Rapids → Oklahoma City,25,2606.6008,2574.71
Richmond → Nashville,25,1827.3023999999998,1656.21
Grand Rapids → Hartford,25,1900.0367999999999,1880.41
Richmond → Mobile,25,2043.9488000000001,2047.91
Charleston → Los Angeles,25,4855.218400000001,4873.57
Oklahoma City → New York,25,3760.348,3513.59
Philadelphia → Atlanta,25,1937.9344,1913.01
Oklahoma City → Tucson,25,2213.9755999999998,2176.18
Oklahoma City → Bakersfield,25,2686.0492,2691.38
Charleston → Syracuse,25,1611.4563999999998,1601.42
Lexington → Fresno,25,4966.252799999999,4499.82
Oklahoma City → Charleston,25,2810.9948,2768.95
Greensboro → Fort Wayne,25,1071.1008,1076.83
Columbia → New York,25,1647.4136,1644.79
El Paso → Hartford,25,4844.482,4945.19
Atlanta → Columbia,25,584.8056,581.64
Mobile → Bakersfield,25,4242.1108,3920.75
Baton Rouge → Atlanta,25,1344.5448000000001,1329.42
Milwaukee → Lexington,25,811.1064,813.47
Atlanta → Lexington,25,556.2908,550.8
Hartford → Charleston,25,1454.0088,1471.63
Phoenix → Montgomery,25,4262.098,4194.23
Los Angeles → Richmond,25,5565.9352,5184.7
Los Angeles → Oklahoma City,25,2722.9744,2663.37
Shreveport → Montgomery,25,1110.2264,1087.31
Nashville → Grand Rapids,25,1446.4848000000002,1434.06
Los Angeles → Columbia,25,4362.7508,4391.77
Nashville → Hartford,25,2531.1924,2239.59
Fort Wayne → Amarillo,25,2960.6047999999996,2970.8
Montgomery → Richmond,25,1738.8688,1708.45
Montgomery → Oklahoma City,25,2171.9976,1905.96
Bakersfield → Mobile,25,3967.3392,3961.11
Fort Wayne → Syracuse,25,1146.3464,1149.91
Lexington → Phoenix,25,4050.8456,4231.21
Bakersfield → Los Angeles,25,963.8539999999999,943.45
Bakersfield → Lubbock,25,2476.1423999999997,2478.27
Nashville → Oklahoma City,25,1912.1424,1782.56
Chattanooga → Atlanta,25,307.6444,265.12
San Antonio → Richmond,25,3287.8691999999996,3312.75
Hartford → New York,25,335.666,344.01
Albuquerque → Bakersfield,25,1150.4984,1180.24
Mobile → Memphis,25,968.0884,846.0
Shreveport → Phoenix,24,3379.7070833333332,3350.52
Shreveport → Cincinnati,24,1217.07375,1226.405
Bakersfield → Greensboro,24,4373.238333333334,4335.985000000001
Grand Rapids → Columbia,24,1544.245,1579.895
Lexington → Baton Rouge,24,1945.8954166666665,1771.6999999999998
Fresno → Baton Rouge,24,3810.7666666666664,3748.87
Harrisburg → Fort Wayne,24,1085.5758333333333,1085.56
Fresno → Fort Wayne,24,4308.84375,4309.33
San Antonio → Nashville,24,2006.9516666666666,1972.205
Atlanta → Mobile,24,744.7375000000001,736.89
Buffalo → Columbia,24,1378.45,1355.54
New York → Memphis,24,2215.5525000000002,2176.58
Fort Wayne → Shreveport,24,1829.2070833333335,1786.175
New York → Milwaukee,24,1848.1804166666668,1898.56
Memphis → Phoenix,24,3734.48,3714.9049999999997
Reno → Hartford,24,5231.695000000001,5117.25
Raleigh → Columbia,24,1051.6058333333333,953.83
Mobile → Oklahoma City,24,1712.3779166666666,1693.0549999999998
Memphis → Syracuse,24,2049.7720833333333,2014.15
Tucson → Phoenix,24,770.895,684.675
Baton Rouge → Charleston,24,2051.9104166666666,2045.3899999999999
Fort Wayne → Montgomery,24,1809.3550000000002,1842.54
Nashville → Shreveport,24,961.67,1002.865
Shreveport → New York,24,2760.241666666667,2690.205
Mobile → Shreveport,24,788.5833333333334,789.3299999999999
Columbia → Nashville,24,838.0320833333334,834.095
Mobile → Fort Wayne,24,1767.5816666666667,1766.8600000000001
Mobile → Milwaukee,24,1427.006666666667,1425.53
Buffalo → Montgomery,24,2034.6945833333332,2048.375
Memphis → Columbia,24,1034.6170833333333,1005.9849999999999
Baton Rouge → Nashville,24,1222.8366666666668,1193.3049999999998
Toledo → Mobile,24,1984.5037499999999,1829.645
Columbia → Lexington,24,603.2929166666667,617.2049999999999
Grand Rapids → Richmond,24,1600.2104166666668,1588.7800000000002
Kansas City → Hartford,24,2393.87,2369.5699999999997
Philadelphia → Nashville,24,2105.2879166666667,2064.21
Philadelphia → Fort Wayne,24,1626.3029166666665,1641.62
Tucson → Lexington,24,3869.9725,3837.6
Baton Rouge → Montgomery,24,1118.0583333333334,1109.28
Cincinnati → Charleston,24,1233.34125,1226.97
San Antonio → Baton Rouge,24,1091.2804166666667,1076.105
Greensboro → Shreveport,24,1578.4624999999999,1566.78
San Antonio → Mobile,24,1716.2279166666667,1686.3600000000001
Amarillo → Lexington,24,2758.7929166666668,2731.275
San Antonio → Atlanta,24,2098.3945833333332,2065.645
San Antonio → Bakersfield,24,2675.1291666666666,2649.5950000000003
Tucson → Columbia,24,4387.8116666666665,4114.49
Greensboro → Los Angeles,23,4522.146956521739,4455.23
Hartford → Albany,23,840.5808695652174,842.98
Oklahoma City → Montgomery,23,1898.031304347826,1943.11
Fresno → El Paso,23,1452.9965217391305,1440.59
San Antonio → Memphis,23,1878.0852173913042,1749.18
San Antonio → Hartford,23,3785.943043478261,3782.43
Fresno → Syracuse,23,5247.358695652174,5182.0
Columbia → Green Bay,23,1804.2752173913045,1794.65
Charleston → Cincinnati,23,1223.3082608695652,1218.9
Bakersfield → El Paso,23,1062.7695652173913,1013.09
Hartford → Tucson,23,5210.546956521739,5333.68
Richmond → Albany,23,1410.4230434782608,1294.37
Richmond → Columbia,23,1142.0421739130436,1128.7
Baton Rouge → Lubbock,23,1308.0782608695652,1277.45
Columbia → Baton Rouge,23,1882.7417391304348,1751.1
Tucson → Richmond,23,4547.921739130435,4472.86
Tucson → Oklahoma City,23,2156.0630434782606,2186.85
Milwaukee → Memphis,23,871.2330434782609,870.01
Baton Rouge → Chattanooga,23,1261.7182608695653,1270.06
Baton Rouge → Albany,23,3668.0034782608695,3404.44
Baton Rouge → San Antonio,23,1021.3317391304348,1039.77
Mobile → New York,23,2430.8008695652175,2422.06
Richmond → Dayton,23,1280.3839130434783,1296.7
Syracuse → Phoenix,23,4916.348695652174,4958.66
Corpus Christi → Lexington,23,2128.2521739130434,2112.99
Columbia → Richmond,23,1149.0726086956522,1186.89
Milwaukee → Oklahoma City,23,2047.0530434782609,2008.86
Baton Rouge → Syracuse,23,2896.1252173913044,2828.93
Syracuse → Nashville,23,1942.7247826086955,1940.19
Fort Wayne → Corpus Christi,23,2575.9391304347823,2536.21
Montgomery → Philadelphia,23,2286.5034782608695,2297.87
Shreveport → Memphis,23,796.3830434782609,814.11
Nashville → Fresno,23,4142.401739130435,4140.17
Nashville → Greensboro,23,890.1482608695652,892.85
Los Angeles → Buffalo,23,4890.13,4812.02
Nashville → Phoenix,23,3869.992608695652,3828.21
Phoenix → Hartford,23,5658.245217391304,5547.79
Lexington → San Antonio,23,2354.2795652173913,2326.85
Phoenix → Philadelphia,23,5262.573043478261,5216.82
Hartford → Chattanooga,23,2141.2678260869566,2150.65
Atlanta → Hartford,23,2402.2130434782607,2058.58
Chattanooga → Mobile,23,914.4160869565218,782.6
Cincinnati → Nashville,23,563.6391304347826,533.64
Memphis → Hartford,23,2348.262608695652,2315.97
Montgomery → Cincinnati,23,1105.1569565217392,1092.07
Memphis → Bakersfield,23,3610.827826086956,3501.11
Atlanta → Milwaukee,23,1010.9778260869564,989.27
Grand Rapids → Milwaukee,23,854.6591304347826,855.46
Jacksonville → Oklahoma City,23,2488.202608695652,2117.01
Oklahoma City → Fresno,23,3092.777391304348,3075.05
Amarillo → Shreveport,23,1845.182608695652,1824.46
Green Bay → Bakersfield,23,3904.9421739130435,3895.47
Phoenix → Bakersfield,23,929.6347826086956,937.61
Lubbock → Baton Rouge,23,1304.6560869565217,1309.97
Fort Wayne → Oklahoma City,23,2818.0652173913045,2434.39
Cincinnati → Milwaukee,23,640.2065217391304,627.04
Tucson → Hartford,23,5294.17304347826,5308.68
Columbia → Cincinnati,23,759.4373913043479,792.03
Cincinnati → Amarillo,23,2600.373043478261,2584.54
Baton Rouge → Los Angeles,23,3565.144347826087,3594.26
Albany → Columbia,23,2149.56,2152.27
Toledo → Oklahoma City,23,2546.047391304348,2493.96
Columbia → Lubbock,23,2495.1186956521738,2507.17
Atlanta → Richmond,23,1356.4191304347826,1481.77
Lubbock → Los Angeles,23,2507.2221739130437,2540.32
Montgomery → San Antonio,23,2009.3082608695654,1977.16
Fort Wayne → Columbia,23,1260.4130434782608,1246.18
Los Angeles → Bakersfield,23,905.6234782608695,917.38
Los Angeles → Tucson,23,787.01,776.83
Nashville → New York,23,2084.67,2080.38
Mobile → Charleston,22,1378.3545454545454,1382.69
Toledo → Tucson,22,3998.9795454545456,3874.43
Toledo → Shreveport,22,1962.3495454545455,2028.2849999999999
Milwaukee → Bakersfield,22,4433.205909090909,3690.0
Baton Rouge → Milwaukee,22,1805.3968181818184,1795.755
Albany → Philadelphia,22,943.685,946.61
Cincinnati → Jacksonville,22,1087.0618181818181,1068.725
Cincinnati → Albany,22,2621.5736363636365,2300.865
Philadelphia → Greensboro,22,1505.7586363636365,1501.8400000000001
Buffalo → Lexington,22,1310.1545454545455,1185.255
Greensboro → Richmond,22,1006.0881818181817,996.165
San Antonio → Kansas City,22,2055.092727272727,2042.745
Lexington → Memphis,22,959.4254545454546,832.06
Amarillo → Fort Wayne,22,2825.911818181818,2809.85
San Antonio → Los Angeles,22,2689.413181818182,2650.58
Charleston → Tucson,22,4498.388181818183,4457.875
San Antonio → Columbia,22,2528.6413636363636,2337.95
Oklahoma City → Memphis,22,1715.8681818181817,1606.43
Oklahoma City → Los Angeles,22,2752.1981818181816,2732.83
Fresno → Columbia,22,4687.918636363636,4651.995000000001
Fresno → Richmond,22,5241.77,5152.465
Lexington → Columbia,22,608.4136363636363,610.075
Kansas City → San Antonio,22,2041.1686363636363,2004.3400000000001
Richmond → Shreveport,22,2775.970909090909,2329.475
Oklahoma City → Indianapolis,22,1868.3045454545454,1882.715
Grand Rapids → Fort Wayne,22,551.7454545454545,516.4200000000001
Charleston → Memphis,22,1536.0118181818182,1535.3600000000001
Grand Rapids → Shreveport,22,2021.007272727273,2011.5749999999998
Kansas City → Oklahoma City,22,1771.4936363636364,1754.85
Kansas City → Richmond,22,1914.560909090909,1886.885
Kansas City → Buffalo,22,1701.4377272727272,1690.895
Charleston → Lubbock,22,3295.902727272727,2891.115
Philadelphia → Shreveport,22,2754.0072727272727,2721.96
Green Bay → San Antonio,22,2840.6122727272727,2831.975
Phoenix → Columbia,22,4446.25909090909,4368.3099999999995
Phoenix → Jacksonville,22,5094.185909090909,4291.5
Phoenix → Kansas City,22,3646.4350000000004,3602.195
Richmond → Charleston,22,874.6686363636363,892.3299999999999
Richmond → Buffalo,22,792.805909090909,786.05
Greensboro → Cincinnati,22,933.444090909091,780.015
Nashville → Milwaukee,22,863.855909090909,881.845
Mobile → Syracuse,22,2279.4540909090906,2313.3450000000003
Mobile → San Antonio,22,1685.7109090909091,1662.47
Los Angeles → Mobile,22,4668.402272727273,4100.5650000000005
Los Angeles → Philadelphia,22,5459.895,5491.155
Fort Wayne → Milwaukee,22,627.7431818181818,613.4000000000001
Shreveport → Greensboro,22,1574.559090909091,1562.0
Shreveport → Richmond,22,2330.2413636363635,2331.995
Fort Wayne → Charleston,22,1552.476818181818,1517.1399999999999
Shreveport → Baton Rouge,22,546.5786363636363,542.0799999999999
Charleston → Shreveport,22,1840.1972727272725,1864.2399999999998
Buffalo → Hartford,22,1009.0631818181818,992.44
San Antonio → Phoenix,22,2597.5595454545455,2718.87
Lexington → Syracuse,22,1509.221818181818,1518.8899999999999
Memphis → Fort Wayne,22,1262.0595454545455,1245.945
El Paso → Baton Rouge,22,2649.9100000000003,2646.8
El Paso → Columbia,22,3833.222727272727,3561.195
Phoenix → San Antonio,22,2673.472272727273,2592.3900000000003
Mobile → Los Angeles,22,4109.487272727273,4107.09
Chattanooga → Oklahoma City,22,1854.1681818181817,1861.1399999999999
Memphis → Baton Rouge,22,1165.7954545454545,1185.31
Memphis → Kansas City,22,843.2909090909092,831.385
Mobile → Montgomery,22,468.67727272727274,465.82
Milwaukee → Phoenix,22,3969.5227272727275,4009.84
Memphis → San Antonio,22,1781.5577272727276,1742.77
Mobile → Atlanta,22,753.4322727272727,748.845
Milwaukee → Richmond,22,1614.1,1605.795
Cincinnati → Greensboro,22,723.5313636363636,707.06
Milwaukee → Nashville,22,884.6409090909091,875.11
Tulsa → Bakersfield,22,3406.2677272727274,2985.4750000000004
Tulsa → Baton Rouge,22,940.2404545454546,776.395
Cincinnati → Tucson,22,3737.6440909090907,3711.61
Tulsa → Richmond,22,2579.1413636363636,2541.535
Tucson → San Antonio,21,2294.7957142857144,2309.74
Columbia → Bakersfield,21,4691.011904761905,4283.63
Tucson → Fort Wayne,21,3916.0266666666666,3819.18
Columbia → Amarillo,21,2994.174761904762,2929.0
Grand Rapids → Lexington,21,1251.8395238095238,1267.66
Grand Rapids → Nashville,21,1490.4161904761904,1471.04
Charleston → Kansas City,21,1791.6680952380952,1852.74
Fresno → Los Angeles,21,998.3309523809525,1024.98
Amarillo → Milwaukee,21,2441.5895238095236,2393.85
Richmond → Memphis,21,1902.2914285714287,1843.39
Grand Rapids → Chattanooga,21,1495.6442857142856,1469.73
Baton Rouge → Toledo,21,2298.55380952381,2284.9
Baton Rouge → Tulsa,21,810.6457142857143,805.14
Montgomery → Houston,21,1734.5314285714285,1424.18
Montgomery → Atlanta,21,775.0552380952381,776.4
Baton Rouge → Amarillo,21,1929.9338095238095,1915.05
Amarillo → Phoenix,21,1837.7290476190476,1881.9
Amarillo → Montgomery,21,2670.228095238095,2651.28
Memphis → Nashville,21,351.6066666666667,347.25
Mobile → Kansas City,21,1496.5314285714285,1498.22
Mobile → Dayton,21,1526.078095238095,1574.86
Columbia → Houston,21,2044.862380952381,1896.51
Chattanooga → Richmond,21,1602.5014285714285,1592.23
Montgomery → Tucson,21,3775.306666666667,3758.14
Montgomery → Shreveport,21,1082.017619047619,1088.9
Montgomery → Phoenix,21,4112.397619047619,4077.42
Richmond → Amarillo,21,3713.902380952381,3688.26
Greensboro → Mobile,21,1205.1195238095238,1187.08
Greensboro → Columbia,21,440.10809523809525,362.54
Bakersfield → Houston,21,3126.5961904761907,3078.27
New York → Mobile,21,2429.660952380952,2423.77
Lubbock → Montgomery,21,2122.965238095238,2115.84
Lubbock → Lexington,21,2503.557619047619,2568.16
Lubbock → Bakersfield,21,2558.442380952381,2554.77
Bakersfield → Toledo,21,4370.862857142857,4321.78
Los Angeles → Albany,21,5700.4400000000005,5653.26
Montgomery → Albany,21,3201.9504761904764,2806.43
Los Angeles → Fort Wayne,21,4303.389047619047,4307.25
Los Angeles → Green Bay,21,4026.937619047619,4116.3
Syracuse → Hartford,21,923.952380952381,931.5
Kansas City → Atlanta,21,1324.347142857143,1204.23
Houston → Richmond,21,2791.157619047619,2792.41
Jacksonville → Phoenix,21,4325.490476190476,4295.53
Philadelphia → Tucson,21,5008.280476190476,5175.66
Albany → Phoenix,21,5794.950952380952,5789.47
Cincinnati → Atlanta,21,556.187619047619,551.87
Fort Wayne → Los Angeles,21,4203.330952380952,4224.71
Tucson → Amarillo,21,1437.15,1437.98
Cincinnati → Buffalo,21,1380.3933333333332,1367.83
Albany → Kansas City,21,2522.2980952380954,2462.56
Memphis → Oklahoma City,21,1587.1738095238095,1574.67
Tucson → Memphis,21,3313.1142857142854,3290.59
Cincinnati → Memphis,21,610.7338095238096,620.9
Albany → Baton Rouge,21,3819.5290476190476,3449.76
Albany → Lexington,21,2504.75,2217.44
Corpus Christi → Fort Wayne,21,2660.8914285714286,2690.2
